siteno,latitude,geneticdist,stems,infls,clonediam,leafht,leafwdth
1,37.54,0.47263,15.375,1,12.49625,11.83012345,1.214804537
2,29.34,0.00554,34.875,1.75,46.65625,35.50103893,4.328820072
3,28.15,0.18589,45.25,4.5,53.25,48.74357627,6.269271251
4,29.53,0.25973,16.125,1.75,21.375,42.90949938,4.575164934
5,30.23,0.13122,24.25,1.75,22.5175,45.86901635,6.231427343
6,42.3,0.55,3.75,0,2.9,14.1474026,1.333766234
7,30.28,0.57697,26.625,0.875,30.09375,36.53419537,4.963453141
8,29.18,0.30742,41.25,2.375,25.8125,33.50727579,3.237204365
9,39.42,0.54483,6.25,0.25,4.44375,9.33983631,0.622581845
10,39,0.63419,21.75,0.875,19.8125,18.68241226,1.784045766
11,29.5,-0.04145,47,3.625,60.96875,35.31507126,4.325952473
12,29.15,0.24443,22.125,3.75,31.5625,46.54074039,5.368855472
13,29.57,0.60443,9.5,1,23.15625,29.35260547,4.642225355
14,35.23,0.53961,33.25,3.625,33.09375,31.78647355,3.625699139
15,43.21,0.53875,0,0,0,0,0
16,29.38,0.23441,45,6.125,44.90625,39.64818497,4.683679503
17,44.54,0.48449,0.125,0,0.00875,1.6625,0.0875
18,26.4,0.25837,7,0.375,14.15625,29.13783234,3.230401786
19,29.43,0.0439,40.75,2,43.3125,29.53986929,2.958839244
20,29.41,0.06854,59,8.875,61.8,49.56409025,5.229963183
21,28,0.30504,18.375,0.75,19.9375,24.13919708,2.74085473
22,30.24,0.24272,29.875,1.875,27.09375,36.35508745,4.602200082
23,29.54,0,29.25,3.75,35.46,34.32099984,3.938158671
